name,color,hover
1,#69b57a,Aparcament Prat de la Creu
2,#89edb8,Aparcament El Trill
3,#d5387f,Aparcament Parc Central  
4,#7a11a2,Aparcament Fener 1  
5,#5adc3c,Aparcament Fener 2  
6,#f01b14,Aparcament Tobira   
7,#4772c1,Aparcament del Ribal  
8,#65a4de,Aparcament de Salou  
9,#da56b1,Aparcament Comunal   
10,#3b2a68,Aparcament comunal de Meritxell 
11,#188933,Aparcament comunal Dr. Mitjavila 
12,#d501ef,Aparcament de l'Hospital  
13,#e4875e,Aparcament Av. del Fener 
14,#c5df29,Aparcament de Caldea  
15,#be866f,Aparcament de Sant Jaume 
16,#f2d755,Aparcament Til.lari   
17,#969df8,Aparcament Placa Creu Blanca 
18,#a2543f,Aparcament de les Bougues 
19,#4575b1,Aparcament d'Autobusos del Prat Gran
20,#ba9dc6,Aparcament Prat del Roure 
21,#6a7a3a,Aparcament del Parnal  
22,#e68ae5,Aparcament de les Nacions Unides
23,#4fae06,Aparcament Clot d'Emprivat 19 
24,#6f7e85,Aparcament Clot d'Emprivat 2 
25,#d6aeaa,Aparcament Clot d'Emprivat 3 
26,#bc973d,Aparcament Comunal   
27,#5589d0,Aparcament Comunal dos Valires 
28,#7a1ace,Aparcament Placa de l'Esglesia 
29,#fa3e7c,San Julian de Loria 
30,#e1bfe7,Colomer de Rocafort  
31,#9427f2,Margineda    
32,#182940,Tunel East end  
33,#8e69ad,Tunel West end  
34,#24073c,La Massana   
35,#1c07f9,Ordino    
36,#efac64,Erts    
37,#eedca5,Pal    
38,#703a26,Encamp    
39,#8b9e8c,Canillo    
40,#082ff4,Soldeu    
41,#b3606f,French border   
42,#820865,Meritxell    